#				CsI		Ge		KBr		Mo		W
#Z	El	Conc.	Ka	Unc	Ka	Unc	Ka	Unc	Ka	Unc	Ka	Unc	
12	Mg	42.6	2816	78	1265	59	2319	71	2768	74	2639	88
14	Si	28.3	13343	200	5051	87	9259	115	13628	140	5079	100
17	Cl	23.1	47872	241	20976	157	32443	508	7127	170	11670	126
19	K	25.4	112607	349	50998	226	0	0	17692	139	26412	170	
22	Ti	39.0	26579	215	186825	439	105182	330	64727	261	92340	313	
23	V	47.1	29587	183	274692	530	154111	398	94685	314	133828	374
24	Cr	47.9	38328	203	401477	639	225834	480	138127	377	192480	446
25	Mn	42.9	39124	204	443165	671	240030	495	150405	393	207632	463
26	Fe	45.3	50721	232	646497	810	346749	594	206753	461	277168	533	
28	Ni	46.8	70385	271	944963	978	505541	716	304771	558	377960	621
29	Cu	41.4	65468	263	897515	953	476511	695	287911	543	177192	429	
32	Ge	43.2	97911	318	16312	615	725706	857	435271	665	25778	484
34	Se	47.4	100505	323	4366	82	100385	328	453685	680	8786	111
45	Rh	38.9	262810	520	6219	88	6520	89	3378	75	12654	128
46	Pd	46.8	348548	598	7978	99	8329	99	4495	83	15676	141
47	Ag	46.5	353792	603	7358	97	7834	98	4290	81	15762	142
50	Sn	45.3	226668	489	7897	101	8404	103	4526	85	17385	152
79	Au	45.5	103	39	197	38	283	40	156	36	30	46	
	
