Ti	22	27326	182	39	938430
V	23	29811	183	47.1	650550
Cr	24	37424	203	47.9	609140
Mn	25	38031	201	42.9	558370
Fe	26	45906	220	51.4	445570
#Fe	26	50992	232	45.3	561580
Ni	28	70595	271	46.8	505140
Cu	29	65430	262	41.4	467630
Zn	30	26601	171	17.3568	385370
Ga	31	44155	218	31.5042	314320
Ge	32	96350	319	43.2	440890
Se	34	102111	326	47.4	340310
#Se	34	103410	328	46.7	349810
Sr	38	113352	342	33.3644	349520
Rh	45	262009	519	38.9	385640
Sn	50	239513	500	45.3	237680
Te	52	64033	302	33.8432	462680
#Pb  	82	0	0	56.1
